pygame 2.6.0 (SDL 2.28.4, Python 3.12.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
100
100
         12397737 function calls (12376331 primitive calls) in 13.219 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1674    0.005    0.000    0.006    0.000 _ops.py:100(inner)
       99    0.005    0.000    0.006    0.000 {built-in method builtins.eval}
     1001    0.005    0.000    1.183    0.001 main.py:370(render)
     4824    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      179    0.005    0.000    2.019    0.011 __init__.py:1(<module>)
    15550    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
    17494    0.004    0.000    0.005    0.000 {built-in method builtins.setattr}
     1230    0.004    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2058    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     4824    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap>:162(__enter__)
       99    0.004    0.000    0.011    0.000 __init__.py:355(namedtuple)
5655/5275    0.004    0.000    0.062    0.000 typing.py:392(inner)
     1515    0.004    0.000    0.029    0.000 typing.py:1260(__init__)
      493    0.004    0.000    0.012    0.000 inspect.py:2387(_signature_from_function)
      398    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
    10960    0.004    0.000    0.007    0.000 typing.py:1152(_is_dunder)
     91/7    0.004    0.000    0.131    0.019 library.py:113(impl)
   1240/3    0.004    0.000    0.249    0.083 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  878/745    0.003    0.000    0.019    0.000 inspect.py:2491(_signature_from_callable)
      912    0.003    0.000    0.076    0.000 __init__.py:34(_add_op_to_registry)
     2108    0.003    0.000    0.006    0.000 inspect.py:2733(__init__)
     1032    0.003    0.000    0.005    0.000 inspect.py:3019(__init__)
     3572    0.003    0.000    0.039    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
    23625    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      113    0.003    0.000    0.003    0.000 {built-in method builtins.compile}
     2018    0.003    0.000    0.003    0.000 {built-in method torch._C._get_schema}
      415    0.003    0.000    0.024    0.000 wrappers.py:221(_out_wrapper)
    18589    0.003    0.000    0.005    0.000 <frozen posixpath>:41(_get_sep)
    74/71    0.003    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
   2735/6    0.003    0.000    0.248    0.041 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     4824    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:74(__new__)
      996    0.003    0.000    0.020    0.000 _ops.py:905(__getattr__)
     1129    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
   837/97    0.003    0.000    0.008    0.000 _compiler.py:37(_compile)
    14481    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        1    0.003    0.003    0.016    0.016 {built-in method torch._C._initExtension}
      544    0.003    0.000    0.003    0.000 {built-in method torch.empty}
   1118/3    0.003    0.000    0.248    0.083 <frozen importlib._bootstrap>:911(_load_unlocked)
     4824    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:79(__init__)
     1030    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
