pygame 2.6.0 (SDL 2.28.4, Python 3.12.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
100
100
         12397737 function calls (12376331 primitive calls) in 13.219 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.000    0.000    0.000    0.000 pickletools.py:1124(__init__)
      544    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_variadic}
       57    0.000    0.000    0.000    0.000 dataclasses.py:701(_is_type)
      388    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       26    0.000    0.000    0.000    0.000 _sources.py:37(normalize_source_lines)
       77    0.000    0.000    0.000    0.000 sym_node.py:1204(_make_user_magic)
        1    0.000    0.000    0.002    0.002 unary.py:1(<module>)
       62    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       97    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.009    0.004 multiarray.py:1(<module>)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
      338    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
     1029    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
        1    0.000    0.000    0.015    0.015 mock.py:1(<module>)
        4    0.000    0.000    0.044    0.011 graph.py:1(<module>)
     1048    0.000    0.000    0.000    0.000 inspect.py:3083(return_annotation)
      107    0.000    0.000    0.001    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
      117    0.000    0.000    0.002    0.000 __init__.py:2823(activate)
      117    0.000    0.000    0.003    0.000 pathlib.py:1022(read_text)
      121    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       12    0.000    0.000    0.000    0.000 typing.py:1740(_get_protocol_attrs)
       53    0.000    0.000    0.000    0.000 enum.py:383(__init__)
      336    0.000    0.000    0.000    0.000 {method 'get_rect' of 'pygame.surface.Surface' objects}
      125    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
       87    0.000    0.000    0.043    0.000 dataclasses.py:1264(wrap)
       44    0.000    0.000    0.001    0.000 registration.py:434(register)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
       34    0.000    0.000    0.001    0.000 ipaddress.py:2241(__init__)
     1048    0.000    0.000    0.000    0.000 inspect.py:3079(parameters)
      215    0.000    0.000    0.000    0.000 inspect.py:1459(repl)
        1    0.000    0.000    0.001    0.001 model.py:77(DispatchKey)
      127    0.000    0.000    0.000    0.000 __init__.py:1564(_validate_resource_path)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
      283    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
       88    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      251    0.000    0.000    0.002    0.000 __init__.py:312(<genexpr>)
      234    0.000    0.000    0.000    0.000 pathlib.py:429(_format_parsed_parts)
        2    0.000    0.000    0.005    0.002 _internal.py:1(<module>)
       83    0.000    0.000    0.001    0.000 typing.py:892(__init__)
       88    0.000    0.000    0.001    0.000 __init__.py:2149(getLogger)
       63    0.000    0.000    0.000    0.000 traceback.py:460(format_frame_summary)
      117    0.000    0.000    0.001    0.000 pathlib.py:380(with_segments)
      136    0.000    0.000    0.003    0.000 config.py:25(register_creature)
    58/53    0.000    0.000    0.000    0.000 typing.py:1411(__repr__)
        1    0.000    0.000    0.001    0.001 functional_tensor.py:19(FunctionalTensor)
      282    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
      255    0.000    0.000    0.002    0.000 traceback.py:318(line)
        1    0.000    0.000    0.017    0.017 _linalg.py:1(<module>)
      117    0.000    0.000    0.005    0.000 __init__.py:469(entry_points)
        2    0.000    0.000    0.000    0.000 inspect.py:563(_getmembers)
     1000    0.000    0.000    0.000    0.000 main.py:376(get_observation)
    74/71    0.000    0.000    0.325    0.005 <frozen importlib._bootstrap_external>:1287(create_module)
      118    0.000    0.000    0.000    0.000 typing.py:995(_typevar_subst)
       16    0.000    0.000    0.002    0.000 library.py:55(__init__)
      102    0.000    0.000    0.000    0.000 wrappers.py:228(<genexpr>)
      117    0.000    0.000    0.000    0.000 utils.py:43(canonicalize_name)
      283    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
      383    0.000    0.000    0.000    0.000 enum.py:251(__init__)
       87    0.000    0.000    0.005    0.000 dataclasses.py:661(_cmp_fn)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       31    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 _tensor_docs.py:1(<module>)
      160    0.000    0.000    0.000    0.000 dataclasses.py:643(<genexpr>)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tarfile.py:1(<module>)
        6    0.000    0.000    0.006    0.001 conv.py:1(<module>)
       64    0.000    0.000    0.002    0.000 linecache.py:80(updatecache)
       79    0.000    0.000    0.000    0.000 typing.py:2496(overload)
       87    0.000    0.000    0.000    0.000 dataclasses.py:372(__init__)
        1    0.000    0.000    0.000    0.000 selector_events.py:1(<module>)
      142    0.000    0.000    0.000    0.000 wrappers.py:103(__init__)
      680    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:365(Distribution)
        1    0.000    0.000    0.001    0.001 kl.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      361    0.000    0.000    0.000    0.000 typing.py:1621(__eq__)
        1    0.000    0.000    0.003    0.003 proxy_tensor.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       85    0.000    0.000    0.030    0.000 return_types.py:13(pytree_register_structseq)
      301    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
       15    0.000    0.000    0.000    0.000 _jit_internal.py:478(boolean_dispatch)
        1    0.000    0.000    0.009    0.009 node.py:1(<module>)
      169    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
      134    0.000    0.000    0.000    0.000 __init__.py:228(matches)
      286    0.000    0.000    0.000    0.000 typing.py:494(__repr__)
       72    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
      289    0.000    0.000    0.000    0.000 inspect.py:2528(<lambda>)
   125/94    0.000    0.000    0.000    0.000 __init__.py:311(<genexpr>)
        1    0.000    0.000    0.000    0.000 upsampling.py:1(<module>)
      680    0.000    0.000    0.000    0.000 {built-in method math.floor}
      133    0.000    0.000    0.002    0.000 __init__.py:2815(_get_metadata)
       24    0.000    0.000    0.000    0.000 proxy.py:544(_scope)
       69    0.000    0.000    0.000    0.000 inspect.py:2140(_signature_is_builtin)
       59    0.000    0.000    0.001    0.000 wrappers.py:382(elementwise_unary_scalar_wrapper)
      103    0.000    0.000    0.000    0.000 functools.py:841(_is_union_type)
        2    0.000    0.000    0.001    0.001 _ops.py:1(<module>)
      234    0.000    0.000    0.001    0.000 __init__.py:1353(safe_name)
      262    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
      714    0.000    0.000    0.000    0.000 version.py:452(_parse_letter_version)
      401    0.000    0.000    0.000    0.000 __init__.py:429(<genexpr>)
      117    0.000    0.000    0.000    0.000 __init__.py:838(_name_from_stem)
      176    0.000    0.000    0.000    0.000 typing.py:1483(__subclasscheck__)
      463    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      138    0.000    0.000    0.002    0.000 linecache.py:36(getlines)
      187    0.000    0.000    0.000    0.000 typing.py:979(_is_unpacked_typevartuple)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
      816    0.000    0.000    0.000    0.000 config.py:32(<genexpr>)
       99    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
      230    0.000    0.000    0.000    0.000 enum.py:1188(_generate_next_value_)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
      210    0.000    0.000    0.000    0.000 typing.py:1616(_value_and_type_iter)
       97    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
  130/116    0.000    0.000    0.000    0.000 typing.py:237(_type_repr)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
      532    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.001    0.001 binary.py:1(<module>)
        2    0.000    0.000    0.000    0.000 util.py:1(<module>)
       56    0.000    0.000    0.003    0.000 typing.py:521(__getitem__)
       98    0.000    0.000    0.000    0.000 linecache.py:52(checkcache)
        1    0.000    0.000    0.000    0.000 errors.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2642(extend_all)
        1    0.000    0.000    0.030    0.030 registration.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       91    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
  384/224    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       67    0.000    0.000    0.000    0.000 inspect.py:3087(replace)
        1    0.000    0.000    0.001    0.001 pooling.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._dist_autograd_init}
        1    0.000    0.000    0.003    0.003 _dtype_like.py:1(<module>)
       94    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
       66    0.000    0.000    0.000    0.000 inspect.py:2482(_descriptor_get)
       53    0.000    0.000    0.000    0.000 enum.py:957(_check_for_existing_members_)
      176    0.000    0.000    0.000    0.000 typing.py:1212(__instancecheck__)
      117    0.000    0.000    0.000    0.000 __init__.py:675(joinpath)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
      111    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
      117    0.000    0.000    0.000    0.000 __init__.py:2339(fixup_namespace_packages)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
        2    0.000    0.000    0.002    0.001 api.py:1(<module>)
      234    0.000    0.000    0.000    0.000 pathlib.py:1164(__new__)
      117    0.000    0.000    0.001    0.000 pathlib.py:711(joinpath)
        1    0.000    0.000    0.000    0.000 rnn.py:165(_LSTMLayer)
      659    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       36    0.000    0.000    0.017    0.000 main.py:179(progress)
       55    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
    74/71    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1295(exec_module)
      158    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
       19    0.000    0.000    0.003    0.000 traceback.py:221(extract_stack)
      123    0.000    0.000    0.028    0.000 __init__.py:226(compile)
       26    0.000    0.000    0.000    0.000 {built-in method torch._C.call_stack}
        6    0.000    0.000    0.003    0.000 _jit_internal.py:941(_overload_method)
       10    0.000    0.000    0.045    0.005 linear.py:1(<module>)
      117    0.000    0.000    0.000    0.000 _functools.py:99(wrapper)
        2    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:294(<genexpr>)
        1    0.000    0.000    0.001    0.001 operator_schemas.py:1(<module>)
        1    0.000    0.000    0.001    0.001 eager_transforms.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dataframes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 graph.py:756(Graph)
      143    0.000    0.000    0.000    0.000 <frozen os>:791(encode)
      117    0.000    0.000    0.000    0.000 __init__.py:314(_from_text)
       30    0.000    0.000    0.003    0.000 typing.py:2835(NamedTuple)
       10    0.000    0.000    0.004    0.000 version.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _guards.py:1(<module>)
      118    0.000    0.000    0.013    0.000 __init__.py:910(<genexpr>)
       65    0.000    0.000    0.001    0.000 typing.py:1408(copy_with)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
        1    0.000    0.000    0.000    0.000 pickletools.py:2224(assure_pickle_consistency)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
       45    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
      117    0.000    0.000    0.002    0.000 pathlib.py:1005(open)
       35    0.000    0.000    0.002    0.000 _typing.py:348(__new__)
      194    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      552    0.000    0.000    0.000    0.000 _jit_internal.py:1120(is_scripting)
       99    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
       87    0.000    0.000    0.020    0.000 dataclasses.py:1247(dataclass)
      230    0.000    0.000    0.000    0.000 typing.py:1560(<genexpr>)
      172    0.000    0.000    0.000    0.000 {built-in method torch._C.get}
        4    0.000    0.000    0.049    0.012 functional.py:1(<module>)
      111    0.000    0.000    0.002    0.000 linecache.py:26(getline)
        1    0.000    0.000    0.014    0.014 __init__.py:901(entry_points)
       99    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        4    0.000    0.000    0.001    0.000 random.py:1(<module>)
      689    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
       98    0.000    0.000    0.001    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.000    0.000 __init__.py:8(__init__)
    68/33    0.000    0.000    0.000    0.000 fake_impls.py:130(impl_decorator)
       35    0.000    0.000    0.000    0.000 __init__.py:50(modules_filter)
        1    0.000    0.000    0.003    0.003 serialization.py:1(<module>)
      285    0.000    0.000    0.000    0.000 enum.py:467(<genexpr>)
      285    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      190    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
      171    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
      499    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      121    0.000    0.000    0.001    0.000 __init__.py:1477(has_metadata)
        1    0.000    0.000    0.000    0.000 trsock.py:1(<module>)
      117    0.000    0.000    0.000    0.000 __init__.py:101(section_pairs)
       76    0.000    0.000    0.000    0.000 _ops.py:793(__str__)
      218    0.000    0.000    0.000    0.000 typing.py:1311(<genexpr>)
      301    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
        1    0.000    0.000    0.001    0.001 fake_tensor.py:812(FakeTensorMode)
        1    0.000    0.000    0.000    0.000 loss.py:1(<module>)
        1    0.000    0.000    0.025    0.025 impl.py:1(<module>)
    62/16    0.000    0.000    0.000    0.000 fake_impls.py:112(<genexpr>)
       15    0.000    0.000    0.000    0.000 tokenize.py:352(detect_encoding)
        1    0.000    0.000    0.000    0.000 normalization.py:65(CrossMapLRN2d)
        1    0.000    0.000    0.033    0.033 _jit_internal.py:1(<module>)
       15    0.000    0.000    0.001    0.000 typing.py:1841(__new__)
        4    0.000    0.000    0.000    0.000 model.py:2347(pred)
      134    0.000    0.000    0.000    0.000 __init__.py:196(__init__)
        6    0.000    0.000    0.001    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _symbolic_trace.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
       35    0.000    0.000    0.000    0.000 inspect.py:385(_has_code_flag)
        1    0.000    0.000    0.001    0.001 module.py:354(Module)
      538    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       47    0.000    0.000    0.000    0.000 typing.py:1433(__mro_entries__)
       58    0.000    0.000    0.000    0.000 _utils.py:845(classproperty)
      117    0.000    0.000    0.002    0.000 pathlib.py:447(__fspath__)
      166    0.000    0.000    0.000    0.000 typing.py:1079(<genexpr>)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        1    0.000    0.000    0.006    0.006 pathlib.py:1(<module>)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
       88    0.000    0.000    0.000    0.000 registration.py:66(parse_env_id)
        1    0.000    0.000    0.000    0.000 _script.py:592(RecursiveScriptModule)
        2    0.000    0.000    0.001    0.001 reductions.py:1(<module>)
       94    0.000    0.000    0.000    0.000 <frozen _collections_abc>:966(clear)
       97    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      118    0.000    0.000    0.002    0.000 __init__.py:3317(<genexpr>)
       44    0.000    0.000    0.000    0.000 registration.py:379(_check_spec_register)
        2    0.000    0.000    0.015    0.007 context.py:1(<module>)
      234    0.000    0.000    0.000    0.000 __init__.py:2009(__init__)
      195    0.000    0.000    0.000    0.000 __init__.py:120(valid)
       32    0.000    0.000    0.000    0.000 typing.py:1594(__repr__)
        1    0.000    0.000    0.000    0.000 dirichlet.py:31(Dirichlet)
        1    0.000    0.000    0.000    0.000 activation.py:482(ELU)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.007    0.002 profiler.py:1(<module>)
      230    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _builtins.py:1(<module>)
      220    0.000    0.000    0.000    0.000 _meta_registrations.py:43(register_meta)
        1    0.000    0.000    0.000    0.000 autograd_function.py:638(AutogradFunctionApply)
        2    0.000    0.000    0.008    0.004 overrides.py:1(<module>)
        2    0.000    0.000    0.014    0.007 distributed.py:1(<module>)
       26    0.000    0.000    0.000    0.000 _jit_internal.py:1143(_qualified_name)
        1    0.000    0.000    0.003    0.003 pdb.py:1(<module>)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _memory_profiler.py:1(<module>)
      190    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.012    0.012 dynamic_shapes.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _conversions.py:39(_make_conversion_method)
       40    0.000    0.000    0.000    0.000 _parser.py:265(getwhile)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
       39    0.000    0.000    0.000    0.000 sym_node.py:931(_make_node_magic)
        2    0.000    0.000    0.001    0.000 qconfig.py:1(<module>)
        1    0.000    0.000    0.001    0.001 more.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _torch_docs.py:9(parse_kwargs)
       68    0.000    0.000    0.000    0.000 inspect.py:2154(_signature_is_functionlike)
        1    0.000    0.000    0.001    0.001 frontend.py:1(<module>)
      304    0.000    0.000    0.000    0.000 version.py:518(<lambda>)
      134    0.000    0.000    0.000    0.000 __init__.py:224(_for)
      370    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
        1    0.000    0.000    0.001    0.001 proxy.py:1(<module>)
      186    0.000    0.000    0.000    0.000 functools.py:845(_is_valid_dispatch_type)
        1    0.000    0.000    0.014    0.014 reinplace.py:1(<module>)
       19    0.000    0.000    0.003    0.000 traceback.py:377(extract)
       55    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       37    0.000    0.000    0.002    0.000 dataclasses.py:882(_hash_add)
        2    0.000    0.000    0.000    0.000 typing.py:2874(__new__)
      103    0.000    0.000    0.000    0.000 typing.py:295(_check_generic)
      206    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        1    0.000    0.000    0.000    0.000 colordict.py:1(<module>)
       94    0.000    0.000    0.000    0.000 __init__.py:24(_running_with_deploy)
       16    0.000    0.000    0.000    0.000 weakref.py:568(__init__)
       26    0.000    0.000    0.006    0.000 _jit_internal.py:860(_check_overload_body)
        1    0.000    0.000    0.021    0.021 _index_tricks_impl.py:1(<module>)
    45/29    0.000    0.000    0.000    0.000 typing.py:2305(_strip_annotations)
       37    0.000    0.000    0.002    0.000 dataclasses.py:675(_hash_fn)
       53    0.000    0.000    0.000    0.000 enum.py:986(_find_data_repr_)
        1    0.000    0.000    0.001    0.001 exported_program.py:113(ExportedProgram)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
      370    0.000    0.000    0.000    0.000 dataclasses.py:1142(<genexpr>)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
        1    0.000    0.000    0.010    0.010 exported_program.py:1(<module>)
       94    0.000    0.000    0.000    0.000 weakref.py:495(popitem)
      193    0.000    0.000    0.000    0.000 _compatibility.py:7(compatibility)
       46    0.000    0.000    0.000    0.000 ipaddress.py:1755(_parse_hextet)
       26    0.000    0.000    0.006    0.000 _sources.py:119(parse_def)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
       68    0.000    0.000    0.000    0.000 registration.py:383(<genexpr>)
        1    0.000    0.000    0.000    0.000 base_events.py:409(BaseEventLoop)
        1    0.000    0.000    0.008    0.008 base_events.py:1(<module>)
      312    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
        1    0.000    0.000    0.000    0.000 hmac.py:1(<module>)
        1    0.000    0.000    0.005    0.005 module.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _comparison.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.043    0.043 graph_module.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trace.py:1(<module>)
      359    0.000    0.000    0.000    0.000 _pytree.py:630(<genexpr>)
      126    0.000    0.000    0.000    0.000 __init__.py:208(_checkLevel)
       68    0.000    0.000    0.000    0.000 enum.py:202(__get__)
      200    0.000    0.000    0.000    0.000 _ops.py:790(__hash__)
       80    0.000    0.000    0.000    0.000 _sources.py:51(remove_prefix)
        1    0.000    0.000    0.001    0.001 _internal.py:861(_init_logs)
        1    0.000    0.000    0.001    0.001 transforms.py:1(<module>)
        2    0.000    0.000    0.050    0.025 observer.py:1(<module>)
        3    0.000    0.000    0.000    0.000 traceback.py:525(format)
      126    0.000    0.000    0.000    0.000 typing.py:962(__hash__)
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
        1    0.000    0.000    0.003    0.003 package_exporter.py:1(<module>)
        1    0.000    0.000    0.006    0.006 client.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _conversions.py:1(<module>)
      301    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1631(_make_netmask)
       36    0.000    0.000    0.000    0.000 constraints.py:176(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._init_names}
       18    0.000    0.000    0.000    0.000 arrayprint.py:527(wrapper)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
        3    0.000    0.000    0.001    0.000 activation.py:1(<module>)
        2    0.000    0.000    0.003    0.001 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 unix_events.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen posixpath>:100(split)
      238    0.000    0.000    0.000    0.000 version.py:292(pre)
       17    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.002    0.002 splitter_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 gradcheck.py:1(<module>)
       44    0.000    0.000    0.000    0.000 registration.py:395(<genexpr>)
        4    0.000    0.000    0.000    0.000 _internal.py:513(getArtifactLogger)
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
      114    0.000    0.000    0.000    0.000 traceback.py:391(extended_frame_gen)
      122    0.000    0.000    0.000    0.000 __init__.py:1683(_has)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
        2    0.000    0.000    0.067    0.034 library.py:376(wrap)
       97    0.000    0.000    0.000    0.000 <frozen _collections_abc>:892(__iter__)
        1    0.000    0.000    0.001    0.001 _internal.py:832(_reset_logs)
        1    0.000    0.000    0.004    0.004 hub.py:1(<module>)
       28    0.000    0.000    0.000    0.000 _decorator.py:25(__call__)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
      125    0.000    0.000    0.001    0.000 __init__.py:1474(_get_metadata_path)
        1    0.000    0.000    0.001    0.001 _common.py:1(<module>)
      195    0.000    0.000    0.000    0.000 <frozen os>:795(decode)
        4    0.000    0.000    0.000    0.000 _script.py:276(__init__)
      126    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       21    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
      131    0.000    0.000    0.000    0.000 contextlib.py:446(__exit__)
      151    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.021    0.021 __init__.py:3291(_initialize_master_working_set)
        1    0.000    0.000    0.000    0.000 windows.py:1(<module>)
        2    0.000    0.000    0.002    0.001 version.py:159(Version)
        3    0.000    0.000    0.001    0.000 streams.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:34(envwrap)
        2    0.000    0.000    0.059    0.030 quantize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multi_discrete.py:38(__init__)
       26    0.000    0.000    0.005    0.000 _sources.py:11(get_source_lines_and_file)
       13    0.000    0.000    0.000    0.000 sprite.py:662(__init__)
        2    0.000    0.000    0.001    0.000 abc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _registrations.py:1(<module>)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
       36    0.000    0.000    0.001    0.000 getlimits.py:91(_float_to_float)
       23    0.000    0.000    0.000    0.000 weakref.py:367(__init__)
       36    0.000    0.000    0.000    0.000 getlimits.py:24(_fr1)
        1    0.000    0.000    0.000    0.000 _content_store.py:1(<module>)
       42    0.000    0.000    0.001    0.000 _typing.py:259(__new__)
        1    0.000    0.000    0.002    0.002 plistlib.py:1(<module>)
       94    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
      192    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      190    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      146    0.000    0.000    0.000    0.000 inspect.py:300(ismethod)
        1    0.000    0.000    0.001    0.001 tasks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 optimizer.py:1(<module>)
      359    0.000    0.000    0.000    0.000 _pytree.py:631(<genexpr>)
        1    0.000    0.000    0.000    0.000 reductions.py:578(init_reductions)
        2    0.000    0.000    0.051    0.025 fake_quantize.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:86(CompleteDirs)
    45/29    0.000    0.000    0.000    0.000 typing.py:407(_eval_type)
       15    0.000    0.000    0.000    0.000 typing.py:1860(__init__)
       97    0.000    0.000    0.000    0.000 <frozen os>:732(__iter__)
      238    0.000    0.000    0.000    0.000 version.py:265(epoch)
        1    0.000    0.000    0.001    0.001 memory.py:1(<module>)
       44    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.005    0.005 tags.py:1(<module>)
      139    0.000    0.000    0.000    0.000 __init__.py:95(<genexpr>)
        1    0.000    0.000    0.001    0.001 dataloader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unflatten.py:1(<module>)
       27    0.000    0.000    0.000    0.000 _hook_iterator.py:118(IteratorDecorator)
        1    0.000    0.000    0.000    0.000 distributed.py:321(DistributedDataParallel)
       24    0.000    0.000    0.000    0.000 datapipe.py:132(register_datapipe_as_function)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      183    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
        8    0.000    0.000    0.000    0.000 _contextlib.py:69(context_decorator)
